ds,yhat,yhat_lower,yhat_upper
2021-04-21,314029.29104580265,243734.15917741245,384497.325264945
2021-04-22,319967.79923972674,252506.2150396819,382797.2476950723
2021-04-23,316728.31177103036,248633.20641911429,380891.23566866055
2021-04-24,314846.95337021106,245037.65338695262,380570.29884005873
2021-04-25,321920.2869296196,252717.6354779736,390520.1476786086
2021-04-26,334132.5096936352,264352.1101153847,399218.6237378444
2021-04-27,329587.0796219559,260945.69824293564,395033.8323935514
2021-04-28,325041.73342248925,260637.6128811624,393596.2218518996
2021-04-29,329750.34027424594,265279.81981471647,397678.38342702284
2021-04-30,325143.76216557744,262186.4561757265,394252.9214037827
2021-05-01,321794.66147818,255522.27626981985,390891.6694054018
2021-05-02,327337.31786424073,257456.02880070588,393458.6808216215
2021-05-03,337993.75034518755,269909.1202683788,407700.4964950183
2021-05-04,331904.2933317261,271026.91211155115,402316.6445102743
2021-05-05,325861.61828351935,259506.53312552476,391737.4472246388
2021-05-06,329151.67311238416,265097.1612642948,393158.0520784138
2021-05-07,323233.73564825347,254985.8911886876,392620.1850573414
2021-05-08,318704.5435229945,247237.3960690643,380173.0719528275
2021-05-09,323217.58012384136,259185.8102602481,389070.10237214575
2021-05-10,333008.82549909817,264437.50253522204,399837.39746479056
2021-05-11,326227.1288990211,263321.08053845697,398802.10045135574
2021-05-12,319668.19744682964,254348.72665830448,387701.89861515164
2021-05-13,322615.6707427616,255680.77213880135,392422.06581101933
2021-05-14,316521.4702103823,250670.7982257899,389927.3792430788
2021-05-15,311970.3733596179,240474.38543799878,381275.02502310456
2021-05-16,316599.8760337876,246682.39884313848,382138.82450325246
2021-05-17,326626.63113500265,257280.17414426364,392378.0244293287
2021-05-18,320177.59697167657,254399.22948035336,389719.16190995864
2021-05-19,314024.8637827282,252534.45321447696,382682.3769872758
2021-05-20,317427.6007174391,244821.80846186553,383670.8774316412
2021-05-21,311813.2838302635,240318.0298626178,382483.7476309526
2021-05-22,307743.1271650721,240451.31125875533,373687.3480657014
2021-05-23,312832.7529084505,246350.44691456293,378458.5026129332
2021-05-24,323279.3638572704,256077.25140644942,388104.90344158123
2021-05-25,317193.5287004226,252288.3430591567,382532.4247403693
2021-05-26,311334.5293074544,240629.38646368685,376734.20346035145
2021-05-27,314952.6968004763,247832.46595147983,383097.0243427925
2021-05-28,309470.88577761315,244871.2562092375,374344.37927512155
2021-05-29,305450.0022017235,239065.39138010723,368098.07014862046
2021-05-30,310509.6191646046,245216.6671553996,376800.7861166926
2021-05-31,320854.9468596589,248651.90372888406,385354.2684484335
2021-06-01,314608.275013941,249383.2575920992,384597.9812995176
2021-06-02,308543.84918699303,239843.88211191478,375463.08472125063
2021-06-03,311929.6239473858,244402.125430469,373759.38511847885
2021-06-04,306208.0620313697,231975.1830890657,373694.53192503296
2021-06-05,301960.9176036943,230520.30675293296,371853.2084400414
2021-06-06,306829.0625956999,239539.66496710735,371855.59219081444
2021-06-07,317038.64855485124,247181.67874553165,382151.5832027389
2021-06-08,310731.7489365883,238513.51795762786,379940.8998952675
2021-06-09,304700.46960107546,233416.6857165753,374849.3660669978
2021-06-10,308227.995763788,241591.13528527936,375273.17437995767
2021-06-11,302768.7678282288,231495.38718495885,368604.8095482941
2021-06-12,298912.7448970546,228631.95411086583,366105.3517817861
2021-06-13,304304.83232217684,231879.68986358668,373665.5326825856
